DistrictName,MedianIncome
GREENWOOD LAKE UNION FREE SCHOOL DISTRICT,92963.33333333333
GROTON CENTRAL SCHOOL DISTRICT,65364.75
GUILDERLAND CENTRAL SCHOOL DISTRICT,75045.11111111111
HADLEY-LUZERNE CENTRAL SCHOOL DISTRICT,62414.71428571428
HALDANE CENTRAL SCHOOL DISTRICT,104061.0
HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,117510.14285714286
HAMBURG CENTRAL SCHOOL DISTRICT,79445.83333333333
HAMILTON CENTRAL SCHOOL DISTRICT,56966.833333333336
HAMMOND CENTRAL SCHOOL DISTRICT,58918.5
HAMMONDSPORT CENTRAL SCHOOL DISTRICT,51205.75
HAMPTON BAYS UNION FREE SCHOOL DISTRICT,92699.75
HANCOCK CENTRAL SCHOOL DISTRICT,54114.0
HANNIBAL CENTRAL SCHOOL DISTRICT,54135.2
HARBORFIELDS CENTRAL SCHOOL DISTRICT,135911.0
HARPURSVILLE CENTRAL SCHOOL DISTRICT,56108.57142857143
HARRISON CENTRAL SCHOOL DISTRICT,137353.5
HARRISVILLE CENTRAL SCHOOL DISTRICT,50445.0
HARTFORD CENTRAL SCHOOL DISTRICT,57991.857142857145
HASTINGS-ON-HUDSON UNION FREE SCHOOL DISTRICT,137899.0
HAUPPAUGE UNION FREE SCHOOL DISTRICT,111789.0
HAVERSTRAW-STONY POINT CENTRAL SCHOOL DISTRICT (NORTH ROCKLAND),101506.1
HEMPSTEAD UNION FREE SCHOOL DISTRICT,107137.0
HENDRICK HUDSON CENTRAL SCHOOL DISTRICT,105085.0
HERKIMER CENTRAL SCHOOL DISTRICT,57833.333333333336
HERMON-DEKALB CENTRAL SCHOOL DISTRICT,50376.5
HERRICKS UNION FREE SCHOOL DISTRICT,160936.33333333334
HEUVELTON CENTRAL SCHOOL DISTRICT,50010.71428571428
HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT,133385.75
