,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate,Percentage of Minority Students,DistrictName
420,93,109923.6,25157.29,4,64.0,NORTH BABYLON UFSD
422,92,62133.5,21209.35,4,9.1,NORTH COLLINS CSD
423,93,70709.1,16378.28,3,37.1,NORTH COLONIE CSD
426,87,56033.2,21632.65,6,13.3,NORTH ROSE-WOLCOTT CSD
427,96,122803.6,34752.96,2,25.9,NORTH SALEM CSD
428,96,127171.8,36171.47,0,23.1,NORTH SHORE CSD
429,87,69545.3,15859.19,5,19.1,NORTH SYRACUSE CSD
430,86,69119.0,17409.1,7,10.9,NORTH TONAWANDA CITY SCHOOL DISTRICT
431,92,61106.2,22431.62,5,8.9,NORTH WARREN CSD
432,87,73045.2,26227.2,6,30.5,NORTHEAST CSD
433,81,56574.2,22148.23,9,4.2,NORTHEASTERN CLINTON CSD
434,86,56522.2,25473.35,9,1.0,NORTHERN ADIRONDACK CSD
435,96,131766.0,28285.29,2,19.0,NORTHPORT-EAST NORTHPORT UFSD
436,94,59445.5,20631.26,3,8.1,NORTHVILLE CSD
437,86,53188.4,18999.6,4,9.4,NORWICH CITY SCHOOL DISTRICT
438,90,54853.2,20364.35,5,3.8,NORWOOD-NORFOLK CSD
440,91,124980.7,24606.88,5,57.8,NYACK UFSD
474,85,60528.5,18394.15,3,6.7,OAKFIELD-ALABAMA CSD
475,94,115829.3,22535.44,0,29.4,OCEANSIDE UFSD
476,93,57681.7,18234.83,4,6.6,ODESSA-MONTOUR CSD
477,80,53915.0,22365.24,12,2.0,OGDENSBURG CITY SCHOOL DISTRICT
478,74,47782.0,18698.78,10,18.6,OLEAN CITY SCHOOL DISTRICT
479,85,63358.4,18768.6,9,11.6,ONEIDA CITY SCHOOL DISTRICT
480,84,53729.0,17884.13,7,21.6,ONEONTA CITY SCHOOL DISTRICT
481,90,71562.8,19020.04,6,27.3,ONONDAGA CSD
482,87,68467.2,38615.96,4,25.3,ONTEORA CSD
484,97,73334.8,18291.68,0,7.4,ORCHARD PARK CSD
485,92,69966.8,20301.77,2,8.1,ORISKANY CSD
486,80,127406.3,22422.6,2,79.6,OSSINING UFSD
487,81,58733.3,19998.39,8,10.3,OSWEGO CITY SCHOOL DISTRICT
488,87,57785.5,21458.71,5,11.9,OTEGO-UNADILLA CSD
