,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate
513,98,90935.4,19861.85,0
514,95,125001.0,26342.58,0
515,96,150691.0,26869.5,0
516,84,63237.0,21291.56,8
517,93,156774.0,25303.29,1
519,93,66199.2,23870.17,7
520,86,58286.6,23478.26,4
521,82,147261.5,17876.84,5
522,96,133935.3,35628.81,1
523,86,71534.5,25319.9,6
524,93,131163.0,25331.03,2
525,95,49672.6,14307.29,3
526,95,61014.0,20234.62,3
527,60,68081.0,21427.37,19
528,84,49466.2,18240.82,4
529,87,57120.5,20825.86,4
531,97,117689.0,26817.67,1
532,90,62680.8,16548.22,3
535,99,47460.4,18397.12,0
536,88,78473.9,18848.63,6
537,88,54821.5,21345.38,10
538,91,86355.9,24227.11,4
539,87,71187.4,26257.19,0
541,84,77000.0,17978.0,5
542,93,89250.5,30026.67,1
543,92,57788.7,24034.39,8
545,76,82145.0,18810.89,13
546,68,53004.4,19885.5,13
547,98,107137.0,29490.95,0
548,95,119852.8,24991.0,4
549,82,64102.1,17823.87,8
550,82,55966.8,20890.39,6
551,88,71359.3,28695.99,8
552,75,112783.2,20300.43,16
553,89,55007.2,30693.78,0
554,99,165746.0,29181.7,1
555,91,63371.0,15118.77,3
556,86,60713.0,34739.37,0
557,92,68789.0,16056.73,6
558,92,85732.0,19635.2,3
559,96,140148.3,25422.18,0
560,93,146139.0,22836.77,1
561,94,108960.8,20861.5,2
562,90,62790.8,18003.63,5
563,89,98489.0,38192.07,3
565,79,45555.2,24617.42,3
566,78,66846.8,19489.37,12
567,85,48057.6,26274.61,6
568,90,57632.4,25117.81,3
569,90,62700.3,22036.63,7
570,93,63221.1,24587.99,4
571,92,84608.2,17059.93,4
572,84,57250.5,21994.66,10
573,93,67379.9,17140.41,3
574,97,116648.0,27033.14,0
575,98,151912.0,28842.09,1
576,90,77453.1,18953.56,4
577,74,59576.0,18266.0,11
578,81,60163.8,21163.27,9
579,97,91121.2,21104.26,0
580,89,66572.6,20304.39,4
581,100,63459.4,25128.01,0
582,96,74302.6,19497.47,2
583,81,47109.7,25594.63,16
584,88,63474.5,19185.24,6
585,95,137155.0,26115.27,2
586,87,53409.0,16786.23,6
588,94,55067.4,38377.69,6
589,96,98213.0,48559.74,4
590,92,89906.0,15279.98,3
591,86,52390.4,20802.82,3
592,91,55302.8,20545.12,3
593,95,66556.1,16933.8,3
594,94,107032.2,26463.85,1
595,93,49572.9,19569.51,4
596,89,49337.0,19547.02,4
597,94,72358.3,19456.71,2
598,95,122502.7,24979.97,0
599,86,58886.4,20747.89,4
600,89,58748.0,18811.28,1
601,94,140010.2,27456.96,0
602,94,79064.1,18621.48,2
603,83,91574.8,26730.96,8
604,88,72290.7,15609.87,5
605,89,126591.0,23839.17,3
606,88,62194.0,15009.88,3
607,94,59543.1,20685.26,0
608,85,57142.7,21091.9,6
609,93,122988.0,27002.95,2
610,90,60471.5,28768.85,7
611,89,126957.2,35375.27,2
612,86,70813.8,20456.5,9
613,87,97076.0,34388.43,9
614,92,52045.2,16269.54,4
615,90,68081.0,28094.81,4
616,81,57482.9,21091.38,8
617,91,70703.0,18387.91,4
621,71,53572.1,25978.35,10
622,93,69500.0,14872.59,3
623,84,82021.4,19288.45,11
624,90,55979.5,20271.97,7
625,92,91666.0,27125.39,4
626,90,63396.9,26133.65,8
627,87,54191.2,20962.12,7
628,94,74452.6,19798.51,3
629,99,151591.5,30765.31,0
630,71,49428.5,19030.39,11
631,75,71588.8,24336.16,12
632,95,57228.6,19397.93,3
633,96,124953.4,31655.63,1
634,91,80308.2,23812.19,5
635,91,59570.1,15563.69,4
636,93,58954.0,16138.8,3
637,100,65457.2,26872.8,0
638,75,58629.6,27786.88,19
639,88,57325.0,19801.65,7
640,91,56880.2,20889.47,0
642,99,110517.8,25010.58,0
643,81,72185.5,19646.46,3
644,89,55435.5,20549.25,2
645,100,103987.0,45079.45,0
647,84,53665.1,22294.87,3
648,94,66015.2,18831.95,0
649,88,57793.5,18861.64,5
650,78,111490.7,24253.37,11
651,73,55937.3,15176.09,13
652,93,106481.0,30131.68,1
653,92,91179.4,21709.36,4
659,93,65047.7,18422.74,2
660,95,82661.3,13662.02,2
661,96,96354.5,17552.5,2
663,90,77384.9,21761.44,3
664,86,54078.0,20436.21,11
665,98,143313.0,24819.0,0
666,94,90151.1,19359.75,3
667,85,64830.4,23590.05,8
668,92,59166.6,18447.56,7
669,95,101545.5,18948.67,1
670,94,104425.2,20640.42,2
671,90,70068.0,23921.21,5
672,90,54392.7,20639.44,4
673,77,53675.7,14799.55,14
674,93,69413.4,19097.1,0
675,88,52722.0,13712.89,7
676,95,59327.6,21000.88,1
677,90,54707.5,17881.28,8
678,94,56342.6,19889.88,4
679,92,80629.7,18290.82,4
