,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,WhiteStudentsEnrolled,Percentage of Minority Students
217,GARDEN CITY UFSD,98,0,23500.03,3939,1964,1975,3310,16.0
218,GARRISON UFSD,—,—,36524.49,207,109,98,150,27.5
219,GATES CHILI CSD,86,4,19847.69,3698,1833,1865,2077,43.8
220,GENERAL BROWN CSD,93,4,13567.30,1388,711,677,1305,6.0
221,GENESEE VALLEY CSD,90,8,23997.00,478,243,235,454,5.0
222,GENESEO CSD,93,3,18482.09,855,444,411,705,17.5
223,GENEVA CITY SCHOOL DISTRICT,88,9,20180.79,1996,988,1008,856,57.1
224,GEORGE JUNIOR REPUBLIC UFSD,41,53,N/A,190,163,27,139,26.8
225,GERMANTOWN CSD,93,7,5403.88,485,263,222,417,14.0
226,GILBERTSVILLE-MOUNT UPTON CSD,92,3,23117.52,338,164,174,325,3.8
227,GILBOA-CONESVILLE CSD,100,0,26541.08,294,167,127,280,4.8
228,GLEN COVE CITY SCHOOL DISTRICT,87,4,22819.95,3163,1613,1550,776,75.5
229,GLENS FALLS CITY SCHOOL DISTRICT,84,8,17131.90,2022,1042,980,1730,14.4
230,GLENS FALLS COMMON SCHOOL DISTRICT,—,—,23169.56,157,72,85,126,19.7
231,GLOVERSVILLE CITY SCHOOL DISTRICT,68,17,18618.20,2554,1310,1244,2042,20.0
232,GORHAM-MIDDLESEX CSD (MARCUS WHITMAN,87,4,19833.28,1119,582,537,1083,3.2
233,GOSHEN CSD,96,0,22102.68,2885,1458,1427,2238,22.4
234,GOUVERNEUR CSD,84,9,18367.44,1461,739,722,1404,3.9
235,GOWANDA CSD,82,14,24073.62,1063,511,552,684,35.7
236,GRAND ISLAND CSD,95,2,17396.91,2869,1462,1407,2432,15.2
237,GRANVILLE CSD,79,11,18308.97,1020,545,475,966,5.3
238,GREAT NECK UFSD,93,2,28782.39,6586,3466,3120,2900,56.0
239,GREECE CSD,93,0,16901.72,10504,5322,5182,6083,42.1
240,GREEN ISLAND UFSD,86,11,23487.08,263,117,146,213,19.0
241,GREENBURGH CSD,93,0,34414.70,1581,803,778,191,87.9
242,GREENBURGH ELEVEN UFSD,22,33,N/A,71,71,0,3,95.8
243,GREENBURGH-GRAHAM UFSD,0,0,N/A,102,60,42,12,88.2
244,GREENBURGH-NORTH CASTLE UFSD,—,—,N/A,395,259,136,94,76.2
245,GREENE CSD,89,6,20546.04,924,479,445,875,5.3
246,GREENPORT UFSD,75,20,24403.49,660,351,309,180,72.7
247,GREENVILLE CSD,87,3,23538.21,1126,573,553,1077,4.4
