DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
HOOSICK FALLS CSD,90.0,3.0,18103.91,1064.0,548.0,516.0,8.1,71795.4,""
HORNELL CITY SD,86.0,4.0,18297.48,1528.0,754.0,774.0,14.8,47783.0,No
HORSEHEADS CSD,92.0,3.0,16537.38,3842.0,1956.0,1886.0,13.2,60256.23,Yes
HUDSON CITY SD,80.0,7.0,24261.33,1617.0,810.0,807.0,60.0,65495.17,No
HUDSON FALLS CSD,79.0,13.0,14076.68,2259.0,1137.0,1122.0,10.2,64791.0,""
HUNTER-TANNERSVILLE CSD,85.0,4.0,30553.49,331.0,150.0,181.0,19.0,69565.5,""
HUNTINGTON UFSD,90.0,2.0,23794.52,4459.0,2307.0,2152.0,65.3,131281.5,No
HYDE PARK CSD,88.0,6.0,23435.59,3396.0,1735.0,1661.0,40.6,81705.0,""
INDIAN LAKE CSD,89.0,0.0,43135.85,100.0,45.0,55.0,7.0,59063.0,""
INDIAN RIVER CSD,87.0,7.0,19354.3,3543.0,1772.0,1771.0,34.3,53606.0,""
IROQUOIS CSD,98.0,1.0,20509.11,2127.0,1078.0,1049.0,5.4,76619.73,No
IRVINGTON UFSD,92.0,0.0,29339.93,1776.0,936.0,840.0,31.7,131104.0,No
ISLAND PARK UFSD,92.0,0.0,32114.61,683.0,341.0,342.0,48.0,103508.0,""
ISLAND TREES UFSD,95.0,2.0,24009.41,2238.0,1139.0,1099.0,37.0,125811.66,""
ISLIP UFSD,97.0,3.0,26255.56,2726.0,1347.0,1379.0,43.0,95089.0,No
ITHACA CITY SD,87.0,3.0,20297.74,5052.0,2578.0,2474.0,35.8,62676.5,No
JAMESTOWN CITY SD,74.0,14.0,15641.5,4479.0,2304.0,2175.0,38.3,42558.0,No
JAMESVILLE-DEWITT CSD,94.0,2.0,18413.64,2693.0,1404.0,1289.0,26.6,76430.0,No
JASPER-TROUPSBURG CSD,90.0,5.0,26007.34,401.0,216.0,185.0,2.2,52934.13,""
JEFFERSON CSD,92.0,4.0,26743.1,196.0,100.0,96.0,4.6,53163.67,""
JERICHO UFSD,96.0,0.0,33337.94,3159.0,1692.0,1467.0,70.5,152512.58,No
JOHNSBURG CSD,89.0,11.0,27133.01,301.0,157.0,144.0,3.7,57142.71,""
JOHNSON CITY CSD,90.0,5.0,18386.55,2347.0,1187.0,1160.0,44.0,48683.25,""
JOHNSTOWN CITY SD,88.0,3.0,15993.37,1501.0,800.0,701.0,8.2,53323.0,No
JORDAN-ELBRIDGE CSD,94.0,5.0,18668.5,1112.0,585.0,527.0,5.4,70367.38,""
KATONAH-LEWISBORO UFSD,94.0,1.0,32363.39,2915.0,1501.0,1414.0,20.9,161824.5,No
KEENE CSD,92.0,8.0,34485.18,157.0,75.0,82.0,8.3,73752.5,""
KENDALL CSD,98.0,0.0,18527.39,684.0,356.0,328.0,10.1,60086.67,""
KENMORE-TONAWANDA UFSD,88.0,5.0,19948.14,6648.0,3363.0,3285.0,26.4,54324.25,No
KINDERHOOK CSD,96.0,0.0,20073.39,1683.0,858.0,825.0,15.5,"",Yes
KINGS PARK CSD,97.0,0.0,25791.61,2886.0,1440.0,1446.0,16.0,123713.0,""
KINGSTON CITY SD,87.0,8.0,22986.93,6308.0,3166.0,3142.0,48.6,75186.29,Yes
LA FARGEVILLE CSD,95.0,5.0,17047.91,495.0,246.0,249.0,6.7,56007.71,""
LACKAWANNA CITY SD,82.0,14.0,17378.83,1790.0,937.0,853.0,35.7,48455.0,Yes
LAFAYETTE CSD,94.0,0.0,25122.89,792.0,401.0,391.0,40.3,68715.4,""
LAKE GEORGE CSD,96.0,2.0,28540.5,722.0,360.0,362.0,8.2,81180.8,""
LAKE PLACID CSD,88.0,2.0,26784.06,569.0,271.0,298.0,6.3,61918.0,""
LAKE PLEASANT CSD,88.0,2.0,47512.33,65.0,33.0,32.0,1.5,75714.5,""
LAKELAND CSD,92.0,1.0,24687.8,5510.0,2787.0,2723.0,36.9,119432.4,Yes
LANCASTER CSD,95.0,0.0,14140.1,5631.0,2874.0,2757.0,8.6,68643.5,Yes
LANSING CSD,90.0,1.0,21726.47,1187.0,602.0,585.0,19.8,69399.6,""
LANSINGBURGH CSD,85.0,9.0,18039.45,2110.0,1134.0,976.0,43.8,57325.0,No
LAURENS CSD,84.0,8.0,23669.72,301.0,141.0,160.0,11.6,56726.6,""
LAWRENCE UFSD,78.0,11.0,27720.33,2446.0,1289.0,1157.0,87.4,109532.43,Yes
