,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
210,FRONTIER CSD,91.0,3.0,14894.51,4612,2356,2256,11.8,74888.25,Yes
211,FULTON CITY SD,84.0,10.0,19719.91,3200,1659,1541,10.3,60755.75,No
212,GALWAY CSD,87.0,6.0,18867.04,800,392,408,1.1,76572.375,
213,GANANDA CSD,90.0,5.0,18478.74,893,440,453,15.2,81453.0,
214,GARDEN CITY UFSD,98.0,0.0,23500.03,3939,1964,1975,16.0,135299.66666666666,
215,GARRISON UFSD,,,36524.49,207,109,98,27.5,122279.5,
216,GATES CHILI CSD,86.0,4.0,19847.69,3698,1833,1865,43.8,,
217,GENERAL BROWN CSD,93.0,4.0,13567.3,1388,711,677,6.0,62807.6,
218,GENESEE VALLEY CSD,90.0,8.0,23997.0,478,243,235,5.0,53666.625,
219,GENESEO CSD,93.0,3.0,18482.09,855,444,411,17.5,59282.2,
220,GENEVA CITY SD,88.0,9.0,20180.79,1996,988,1008,57.1,58524.25,No
221,GEORGE JUNIOR REPUBLIC UFSD,41.0,53.0,,190,163,27,26.8,,
222,GERMANTOWN CSD,93.0,7.0,5403.88,485,263,222,14.0,70628.0,
223,GILBERTSVILLE-MOUNT UPTON CSD,92.0,3.0,23117.52,338,164,174,3.8,54588.625,
224,GILBOA-CONESVILLE CSD,100.0,0.0,26541.08,294,167,127,4.8,56186.083333333336,
225,GLEN COVE CITY SD,87.0,4.0,22819.95,3163,1613,1550,75.5,114053.5,
226,GLENS FALLS CITY SD,84.0,8.0,17131.9,2022,1042,980,14.4,66618.0,
227,GLENS FALLS COMN SD,,,23169.56,157,72,85,19.7,66618.0,
228,GLOVERSVILLE CITY SD,68.0,17.0,18618.2,2554,1310,1244,20.0,53646.4,Yes
229,GORHAM-MIDDLESEX CSD (MARCUS WHITMAN,87.0,4.0,19833.28,1119,582,537,3.2,,
230,GOSHEN CSD,96.0,0.0,22102.68,2885,1458,1427,22.4,95000.0,No
231,GOUVERNEUR CSD,84.0,9.0,18367.44,1461,739,722,3.9,52115.0,
232,GOWANDA CSD,82.0,14.0,24073.62,1063,511,552,35.7,53409.28571428572,
233,GRAND ISLAND CSD,95.0,2.0,17396.91,2869,1462,1407,15.2,90386.0,
234,GRANVILLE CSD,79.0,11.0,18308.97,1020,545,475,5.3,56732.75,
235,GREAT NECK UFSD,93.0,2.0,28782.39,6586,3466,3120,56.0,140796.16666666666,
236,GREECE CSD,93.0,0.0,16901.72,10504,5322,5182,42.1,56750.0,No
237,GREEN ISLAND UFSD,86.0,11.0,23487.08,263,117,146,19.0,49862.0,
238,GREENBURGH CSD,93.0,0.0,34414.7,1581,803,778,87.9,124601.66666666669,No
239,GREENBURGH ELEVEN UFSD,22.0,33.0,,71,71,0,95.8,,
240,GREENBURGH-GRAHAM UFSD,0.0,0.0,,102,60,42,88.2,,
241,GREENBURGH-NORTH CASTLE UFSD,,,,395,259,136,76.2,,
242,GREENE CSD,89.0,6.0,20546.04,924,479,445,5.3,51063.71428571428,No
243,GREENPORT UFSD,75.0,20.0,24403.49,660,351,309,72.7,79762.33333333333,
244,GREENVILLE CSD,87.0,3.0,23538.21,1126,573,553,4.4,75317.46666666666,
