,Unnamed: 0.1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
124,124,126,COHOES CITY SCHOOL DISTRICT,84,11,17770.18,1873,943,930,28.9,60444.0
125,125,127,COLD SPRING HARBOR CSD,99,0,33287.48,1635,838,797,13.9,140247.0
126,126,128,COLTON-PIERREPONT CSD,94,0,22481.64,339,169,170,0.6,56456.8
127,127,129,COMMACK UFSD,97,0,26170.47,5875,3018,2857,23.3,122854.0
128,128,130,CONNETQUOT CSD,95,2,28395.35,5509,2786,2723,26.7,108287.0
129,129,131,COOPERSTOWN CSD,99,1,19740.77,818,413,405,8.8,63359.0
130,130,132,COPENHAGEN CSD,100,0,18762.25,393,212,181,7.6,61598.0
131,131,133,COPIAGUE UFSD,89,7,18858.63,4965,2443,2522,87.7,99989.2
132,132,134,CORINTH CSD,86,6,15265.53,1139,586,553,4.8,77271.8
133,133,135,CORNING CITY SCHOOL DISTRICT,88,6,19702.53,4551,2359,2192,13.5,64176.9
134,134,136,CORNWALL CSD,96,3,18883.36,3102,1632,1470,35.5,112038.0
135,135,137,CORTLAND CITY SCHOOL DISTRICT,80,7,18587.04,2132,1092,1040,15.1,61464.0
136,136,138,COXSACKIE-ATHENS CSD,82,7,20955.92,1242,679,563,15.5,68206.2
137,137,139,CROTON-HARMON UFSD,96,0,23468.52,1584,820,764,28.7,111839.3
138,138,140,CROWN POINT CSD,95,5,20638.87,286,135,151,0.7,55082.8
139,139,141,CUBA-RUSHFORD CSD,92,0,19895.03,780,433,347,5.0,53610.3
140,140,142,DALTON-NUNDA CSD (KESHEQUA),98,0,20242.29,589,297,292,2.5,54371.9
141,141,143,DANSVILLE CSD,85,10,17846.3,1304,652,652,6.7,63313.4
142,142,144,DEER PARK UFSD,92,1,24053.21,3864,1984,1880,63.6,105121.5
143,143,145,DELAWARE ACADEMY CSD AT DELHI,90,0,20269.67,747,379,368,5.5,
144,144,146,DEPEW UFSD,85,5,16749.58,1784,905,879,14.9,67225.3
145,145,147,DEPOSIT CSD,97,3,26448.82,458,242,216,3.9,51873.2
146,146,148,DERUYTER CSD,88,6,24461.18,326,168,158,7.4,55705.4
147,147,149,DOBBS FERRY UFSD,99,0,27547.73,1516,783,733,35.2,154429.5
148,148,150,DOLGEVILLE CSD,87,9,17450.78,815,393,422,1.5,57175.7
149,149,151,DOVER UFSD,84,6,20364.65,1351,691,660,38.3,79784.3
150,150,152,DOWNSVILLE CSD,85,8,36396.35,207,98,109,7.7,56483.2
151,151,153,DRYDEN CSD,68,14,22428.41,1364,699,665,15.8,62437.3
152,152,154,DUANESBURG CSD,98,2,18262.05,651,339,312,6.1,78887.5
153,153,155,DUNDEE CSD,68,23,20317.42,621,330,291,8.5,56795.0
154,154,156,DUNKIRK CITY SCHOOL DISTRICT,71,19,21073.97,1957,996,961,64.0,49307.5
155,155,157,EAST AURORA UFSD,97,1,14972.77,1758,902,856,5.6,83121.0
156,156,158,EAST BLOOMFIELD CSD,94,2,19459.4,816,420,396,8.5,75579.9
