,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
202,FRANKFORT-SCHUYLER,90,1,17334.49,893,457,436,6.8,70398.0,
203,FRANKLIN,100,0,24410.51,244,114,130,9.8,62290.0,
204,FRANKLINSQUARE,—,—,16757.04,1832,953,879,41.8,156493.0,
205,FRANKLINVILLE,83,6,25123.2,594,293,301,7.9,66522.0,
206,FREDONIA,96,2,17255.21,1418,730,688,20.7,65243.0,
207,FREEPORT,86,2,21484.73,6765,3582,3183,94.5,138271.0,No
208,FREWSBURG,94,2,17462.27,777,378,399,6.0,61279.0,
209,FRIENDSHIP,78,9,29150.45,304,153,151,9.2,58995.0,
210,FRONTIER,91,3,14894.51,4612,2356,2256,11.8,88180.0,Yes
211,FULTON,84,10,19719.91,3200,1659,1541,10.3,73895.0,No
212,GALWAY,87,6,18867.04,800,392,408,1.1,93511.0,
213,GANANDA,90,5,18478.74,893,440,453,15.2,89871.0,
214,GARDENCITY,98,0,23500.03,3939,1964,1975,16.0,172946.0,
215,GARRISON,—,—,36524.49,207,109,98,27.5,150357.0,
216,GATESCHILI,86,4,19847.69,3698,1833,1865,43.8,,
217,GENERALBROWN,93,4,13567.3,1388,711,677,6.0,76388.0,
218,GENESEEVALLEY,90,8,23997.0,478,243,235,5.0,63444.0,
219,GENESEO,93,3,18482.09,855,444,411,17.5,80705.0,
220,GENEVA,88,9,20180.79,1996,988,1008,57.1,71796.0,No
221,GEORGEJUNIORREPUBLIC,41,53,,190,163,27,26.8,,
222,GERMANTOWN,93,7,5403.88,485,263,222,14.0,97653.0,
223,GILBERTSVILLE-MOUNTUPTON,92,3,23117.52,338,164,174,3.8,69200.0,
224,GILBOA-CONESVILLE,100,0,26541.08,294,167,127,4.8,72731.0,
225,GLENCOVE,87,4,22819.95,3163,1613,1550,75.5,186803.0,
226,GLENSFALLS,84,8,17131.9,2022,1042,980,14.4,86313.0,
227,GLENSFALLSCOMMONSCHOOLDISTRICT,—,—,23169.56,157,72,85,19.7,86313.0,
228,GLOVERSVILLE,68,17,18618.2,2554,1310,1244,20.0,74389.0,Yes
229,GORHAM-MIDDLESEX(MARCUSWHITMAN,87,4,19833.28,1119,582,537,3.2,,
230,GOSHEN,96,0,22102.68,2885,1458,1427,22.4,114745.0,No
231,GOUVERNEUR,84,9,18367.44,1461,739,722,3.9,64883.0,
232,GOWANDA,82,14,24073.62,1063,511,552,35.7,70114.0,
233,GRANDISLAND,95,2,17396.91,2869,1462,1407,15.2,103643.0,
234,GRANVILLE,79,11,18308.97,1020,545,475,5.3,67741.0,
235,GREATNECK,93,2,28782.39,6586,3466,3120,56.0,210237.0,
236,GREECE,93,0,16901.72,10504,5322,5182,42.1,70419.0,No
