DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students
HARBORFIELDS CSD,95.0,1.0,24499.74,2965,1510,1455,28.1
HARPURSVILLE CSD,84.0,3.0,21205.12,641,365,276,4.7
HARRISON CSD,98.0,1.0,28893.27,3653,1820,1833,35.2
HARRISVILLE CSD,91.0,9.0,25442.94,340,175,165,5.6
HARTFORD CSD,83.0,7.0,21509.8,410,230,180,6.3
HASTINGS-ON-HUDSON UFSD,96.0,1.0,27795.13,1656,840,816,28.5
HAUPPAUGE UFSD,95.0,0.0,28953.45,3272,1725,1547,27.8
HAVERSTRAW-STONY POINT CSD (NORTH RO,86.0,6.0,22215.24,7886,4031,3855,77.5
HAWTHORNE-CEDAR KNOLLS UFSD,30.0,10.0,,207,133,74,90.3
HEMPSTEAD UFSD,78.0,10.0,21489.7,6825,3624,3201,98.5
HENDRICK HUDSON CSD,94.0,1.0,28567.9,2267,1146,1121,44.2
HERKIMER CSD,82.0,9.0,16820.51,1059,550,509,10.7
HERMON-DEKALB CSD,91.0,6.0,21992.93,391,201,190,3.8
HERRICKS UFSD,97.0,0.0,25834.33,4007,2067,1940,75.3
HEUVELTON CSD,75.0,8.0,21354.54,504,260,244,4.0
HEWLETT-WOODMERE UFSD,95.0,1.0,32708.8,2854,1511,1343,37.6
HICKSVILLE UFSD,92.0,4.0,21799.6,5272,2747,2525,74.2
HIGHLAND CSD,93.0,4.0,22380.21,1666,840,826,30.3
HIGHLAND FALLS CSD,87.0,8.0,23505.03,962,474,488,41.9
HILTON CSD,94.0,1.0,15641.88,4295,2219,2076,12.0
HINSDALE CSD,77.0,20.0,20616.41,387,175,212,8.5
HOLLAND CSD,95.0,2.0,18196.59,829,432,397,4.7
HOLLAND PATENT CSD,88.0,5.0,18430.98,1298,679,619,1.1
HOLLEY CSD,94.0,2.0,19510.21,902,444,458,16.2
HOMER CSD,88.0,6.0,18818.88,1831,951,880,6.7
HONEOYE CSD,94.0,0.0,23910.02,569,311,258,3.3
HONEOYE FALLS-LIMA CSD,94.0,2.0,17749.56,2122,1136,986,8.1
HOOSIC VALLEY CSD,92.0,3.0,18681.68,931,486,445,4.2
HOOSICK FALLS CSD,90.0,3.0,18103.91,1064,548,516,8.1
HORNELL CITY SD,86.0,4.0,18297.48,1528,754,774,14.8
HORSEHEADS CSD,92.0,3.0,16537.38,3842,1956,1886,13.2
HUDSON CITY SD,80.0,7.0,24261.33,1617,810,807,60.0
HUDSON FALLS CSD,79.0,13.0,14076.68,2259,1137,1122,10.2
HUNTER-TANNERSVILLE CSD,85.0,4.0,30553.49,331,150,181,19.0
HUNTINGTON UFSD,90.0,2.0,23794.52,4459,2307,2152,65.3
HYDE PARK CSD,88.0,6.0,23435.59,3396,1735,1661,40.6
INDIAN LAKE CSD,89.0,0.0,43135.85,100,45,55,7.0
INDIAN RIVER CSD,87.0,7.0,19354.3,3543,1772,1771,34.3
IROQUOIS CSD,98.0,1.0,20509.11,2127,1078,1049,5.4
IRVINGTON UFSD,92.0,0.0,29339.93,1776,936,840,31.7
ISLAND PARK UFSD,,,32114.61,683,341,342,48.0
ISLAND TREES UFSD,95.0,2.0,24009.41,2238,1139,1099,37.0
ISLIP UFSD,97.0,3.0,26255.56,2726,1347,1379,43.0
ITHACA CITY SD,87.0,3.0,20297.74,5052,2578,2474,35.8
JAMESTOWN CITY SD,74.0,14.0,15641.5,4479,2304,2175,38.3
JAMESVILLE-DEWITT CSD,94.0,2.0,18413.64,2693,1404,1289,26.6
JASPER-TROUPSBURG CSD,90.0,5.0,26007.34,401,216,185,2.2
JEFFERSON CSD,92.0,4.0,26743.1,196,100,96,4.6
JERICHO UFSD,96.0,0.0,33337.94,3159,1692,1467,70.5
JOHNSBURG CSD,89.0,11.0,27133.01,301,157,144,3.7
JOHNSON CITY CSD,90.0,5.0,18386.55,2347,1187,1160,44.0
JOHNSTOWN CITY SD,88.0,3.0,15993.37,1501,800,701,8.2
JORDAN-ELBRIDGE CSD,94.0,5.0,18668.5,1112,585,527,5.4
KATONAH-LEWISBORO UFSD,94.0,1.0,32363.39,2915,1501,1414,20.9
KEENE CSD,92.0,8.0,34485.18,157,75,82,8.3
KENDALL CSD,98.0,0.0,18527.39,684,356,328,10.1
KENMORE-TONAWANDA UFSD,88.0,5.0,19948.14,6648,3363,3285,26.4
KINDERHOOK CSD,96.0,0.0,20073.39,1683,858,825,15.5
KINGS PARK CSD,97.0,0.0,25791.61,2886,1440,1446,16.0
KINGSTON CITY SD,87.0,8.0,22986.93,6308,3166,3142,48.6
KIRYAS JOEL VILLAGE UFSD,0.0,43.0,107717.2,167,91,76,0.0
LA FARGEVILLE CSD,95.0,5.0,17047.91,495,246,249,6.7
LACKAWANNA CITY SD,82.0,14.0,17378.83,1790,937,853,35.7
LAFAYETTE CSD,94.0,0.0,25122.89,792,401,391,40.3
LAKE GEORGE CSD,96.0,2.0,28540.5,722,360,362,8.2
LAKE PLACID CSD,88.0,2.0,26784.06,569,271,298,6.3
